Currency,Market ID,Deposit Address,Tag,Withdraw Network,Deposit Network,
REZ,REZUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ETHFI,ETHFIUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
ETC,ETCUSDT,0x44Fd116522867C46B2414BF365C5a6a594F3AD2D,,"BEP20, ETC, BEP2",ETC,
PENDLE,PENDLEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"ARBITRUM, BEP20, ERC20",ERC20,
AAVE,AAVEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, BEP2, ERC20",ERC20,
MASK,MASKUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
XTZ,XTZUSDT,tz1gX8fBGBPnZ7rHVSg2LNoVttX2oZ5qHZiX,,"BEP20, XTZ, BEP2",XTZ,
HFT,HFTUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
VET,VETUSDT,0xA0dc0e23eEA4175635740Bd4570b6Ca4b26D720D,,"BEP20, VET",VET,
ONG,ONGUSDT,AUx8yJsnRhFTBsrvzPifVfJ5FVm2sTvwUd,,ONT,ONT,
GALA,GALAUSDT,,,ERC20,,
VIC,VICUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP2, ERC20, VIC",ERC20,
KLAY,KLAYUSDT,0x8086bdf00614650c90532c7a8520a1225c33016f,,KLAY,KLAY,
ATOM,ATOMUSDT,cosmos1z7g5w84ynmjyg0kqpahdjqpj7yq34v3suckp0e,1360745071,"BEP20, ATOM, BEP2",,
DATA,DATAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20, MATIC",ERC20,
ADA,ADAUSDT,addr1v970dxnsadzwmsfp9vmmdq8s3h6a2kj4ewzz8f9ugwq0l0gtha3eq,,"BEP20, ADA, BEP2",ADA,
OGN,OGNUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
INJ,INJUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, INJ, BEP2, ERC20",ERC20,
PIXEL,PIXELUSDT,0xfde65F38A858832523718AB3254820c25A2eF8BA,,"ERC20, RON",RON,
SUI,SUIUSDT,0xce093859352b1115f9528e5931fbdd417ae34f44cb2ebe28254691ff033b68a9,,SUI,SUI,
IOTA,IOTAUSDT,iota1qrnn7zh7fvz7whu7f2gvdgg6a43lhenlsy7wsgmx5dztxgj9yt9228f6wqz,,"BEP20, IOTA",IOTA,
STORJ,STORJUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
CLV,CLVUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,"BEP20, ERC20",ERC20,
ZIL,ZILUSDT,zil10t84d36432zacnr42h5sdq6kmayq9kk0sh98ea,,"BEP20, ZIL",ZIL,
BTC,BTCUSDT,bc1qsjrvjz9nd7lj8g69gy3la6utwqv6snvvuud7mf,,"BEP20, BTC, BEP2, SEGWITBTC, ERC20, LIGHTNING",BTC,
ICP,ICPUSDT,64f827cc6b525f15bb315e7c97e8a07aace9887aa1305cb1cf0587dd8f637bcf,,ICP,ICP,
CAKE,CAKEUSDT,0x56a40ed91fF7a4035A9C7bDB763c22Cbbb091542,,"BEP20, APT, BEP2, ERC20",BEP20,
ACH,ACHUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
KSM,KSMUSDT,EfaFvHnfZzKjou5qBPG3nGfQ5qMTEPMKHHyqzgsATEPcC5A,,"BEP20, KSM",KSM,
UMA,UMAUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
GAS,GASUSDT,NL86g6FGb1Can51JLZ16gwHAiorXVjnCaG,,"NEO3, NEO",NEO3,*
PEPE,PEPEUSDT,0x39a42Ecc009aeBE6c6f51E592bf46511E6388618,,ERC20,ERC20,
STX,STXUSDT,SP10A18T7RBAK8MRVF6JB076652FR0E65AF248C0T,1360745071,STX,STX,
